adsh,cik,form,fy,fp,period,filed,accepted
000103129609000011,1031296,10-Q,2009,Q1,20090331,20090507,2009-05-07 17:17:00.0
000110465909025790,883984,10-Q,2009,Q1,20090331,20090423,2009-04-23 16:01:00.0
000119312509100014,1316631,10-Q,2009,Q1,20090331,20090505,2009-05-05 16:39:00.0
000110465909031513,1124198,10-Q,2009,Q1,20090331,20090511,2009-05-11 16:18:00.0
000027794809000066,277948,10-Q,2009,Q1,20090331,20090415,2009-04-15 16:44:00.0
000095012309008550,13610,10-Q,2009,Q1,20090331,20090511,2009-05-11 16:51:00.0
000079634309000026,796343,10-Q,2009,Q2,20090531,20090626,2009-06-25 21:17:00.0
000119312509101273,86144,10-Q/A,2009,Q1,20090331,20090506,2009-05-06 13:48:00.0
000009238009000018,92380,10-Q/A,2009,Q1,20090331,20090429,2009-04-28 17:52:00.0
000095013409009913,1349436,10-Q,2009,Q1,20090331,20090507,2009-05-07 16:27:00.0
000119312509111401,1080224,10-Q,2009,Q1,20090331,20090514,2009-05-14 16:11:00.0
000100263809000023,1002638,10-Q,2009,Q3,20090331,20090507,2009-05-07 14:32:00.0
000110465909029605,901491,10-Q,2009,Q1,20090331,20090505,2009-05-05 17:15:00.0
000119312509091929,884905,10-Q,2009,Q1,20090331,20090429,2009-04-29 15:57:00.0
000119312509101639,29669,10-Q,2009,Q1,20090331,20090506,2009-05-06 16:49:00.0
000119312509096522,1365135,10-Q,2009,Q1,20090331,20090504,2009-05-01 18:50:00.0
000119312509094508,108772,10-Q,2009,Q1,20090331,20090430,2009-04-30 16:38:00.0
000119312509124260,769397,10-Q,2009,Q1,20090430,20090603,2009-06-03 16:08:00.0
000083125909000047,831259,10-Q,,,20090331,20090511,2009-05-11 13:38:00.0
000104746909007342,930835,10-Q,2009,Q2,20090630,20090807,2009-08-07 09:10:00.0
000104746909007384,1004440,10-Q,2009,Q2,20090630,20090807,2009-08-07 15:37:00.0
000104746909008166,47217,10-Q/A,2009,Q3,20090731,20090908,2009-09-04 21:13:00.0
000083125909000076,831259,10-Q,2009,Q2,20090630,20090807,2009-08-07 17:24:00.0
000095012309024448,1164727,10-Q,2009,Q2,20090630,20090723,2009-07-22 19:17:00.0
000095012309026820,949039,10-Q,2009,Q2,20090630,20090729,2009-07-29 13:21:00.0
000095012309027011,1170650,10-Q,2009,Q2,20090630,20090729,2009-07-29 16:34:00.0
000095012309029672,200406,10-Q,2009,Q2,20090630,20090804,2009-08-04 17:12:00.0
000095012309029309,1024478,10-Q,2009,Q3,20090630,20090804,2009-08-04 10:40:00.0
000095012309032191,72971,10-Q,2009,Q2,20090630,20090807,2009-08-07 16:56:00.0
000095012309032665,20171,10-Q,2009,Q2,20090630,20090810,2009-08-10 12:30:00.0